accepted_by_controlled_cost_greedy,accepted_by_controlled_cost_partial_hungarian,accepted_by_controlled_cost_reciprocal,accepted_by_historical_geometry_first_reciprocal,appearance_distance,controlled_cost,destination_crop_area_median_px2,destination_gt_purity,destination_id,destination_majority_gt_identity,enters_fixed_candidate_graph,gap,geometry_normalized_by_diagonal,geometry_normalized_by_gate,geometry_pixels,historical_decision,incoming_competitor_destination,incoming_competitor_gt_relation,incoming_competitor_source,method,modality,outgoing_competitor_appearance_distance,outgoing_competitor_destination,outgoing_competitor_geometry_pixels,outgoing_competitor_gt_relation,outgoing_competitor_source,posthoc_gt_identity,row_type,sequence,source_crop_area_median_px2,source_gt_purity,source_id,source_majority_gt_identity,split,tracker
False,True,False,False,0.11902540922164917,0.5052424821416451,113.78986087988596,1.0,26,19,True,19,0.03258950021606203,0.48564274901943816,26.710351196069098,lost_incoming_rank,26,different_identity,19,,ir,0.11902540922164917,26,26.710351196069098,same_identity,18,19,correct_fragment_opportunity,M3OT/1/ir/val/1-08T,116.34996032714844,1.0,18,19,development,bytetrack
False,True,False,False,0.08408045768737793,0.49974075238786675,141.1440102654742,1.0,27,20,True,19,0.03929861404407992,0.5856207315390071,32.20914023464539,lost_outgoing_rank,27,same_identity,19,,ir,0.0943671464920044,26,16.899283275339197,different_identity,19,20,correct_fragment_opportunity,M3OT/1/ir/val/1-08T,99.43066254485166,1.0,19,20,development,bytetrack
True,True,True,True,0.09496784210205078,0.48925038204570387,172.31015057989862,1.0,31,19,True,14,0.04593567569857076,0.6845250057969421,37.64887531883181,accepted,31,same_identity,26,,ir,0.09496784210205078,31,37.64887531883181,same_identity,26,19,correct_fragment_opportunity,M3OT/1/ir/val/1-08T,113.78986087988596,1.0,26,19,development,bytetrack
,,,,0.0943671464920044,0.40727228362953544,113.78986087988596,1.0,26,19,,18,0.020618942518210365,0.30725969591525815,16.899283275339197,,,,,historical_geometry_first_reciprocal,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,99.43066254485166,1.0,19,20,development,bytetrack
,,,,0.16626691818237305,0.6954106970575412,240.68487402796745,1.0,41,35,,30,0.03570095188601635,0.5320090305647134,29.260496681059234,,,,,historical_geometry_first_reciprocal,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,145.123939376208,1.0,15,16,development,bytetrack
,,,,0.0943671464920044,0.40727228362953544,113.78986087988596,1.0,26,19,,18,0.020618942518210365,0.30725969591525815,16.899283275339197,,,,,controlled_cost_greedy,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,99.43066254485166,1.0,19,20,development,bytetrack
,,,,0.16626691818237305,0.6954106970575412,240.68487402796745,1.0,41,35,,30,0.03570095188601635,0.5320090305647134,29.260496681059234,,,,,controlled_cost_greedy,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,145.123939376208,1.0,15,16,development,bytetrack
,,,,0.0943671464920044,0.40727228362953544,113.78986087988596,1.0,26,19,,18,0.020618942518210365,0.30725969591525815,16.899283275339197,,,,,controlled_cost_reciprocal,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,99.43066254485166,1.0,19,20,development,bytetrack
,,,,0.16626691818237305,0.6954106970575412,240.68487402796745,1.0,41,35,,30,0.03570095188601635,0.5320090305647134,29.260496681059234,,,,,controlled_cost_reciprocal,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,145.123939376208,1.0,15,16,development,bytetrack
,,,,0.16626691818237305,0.6954106970575412,240.68487402796745,1.0,41,35,,30,0.03570095188601635,0.5320090305647134,29.260496681059234,,,,,controlled_cost_partial_hungarian,ir,,,,,,,accepted_false_link,M3OT/1/ir/val/1-08T,145.123939376208,1.0,15,16,development,bytetrack
