created_at,session,ablation,method,base_model,train_model,proposed_module,model_patches,implementation_status,seed,physical_gpu,ultralytics_device,imgsz,batch,epochs,data_yaml,run_name,log_file,status,skip_reason,command
2026-05-26T18:58:49+09:00,top3-check,se_neck,ProposedTop3-SE-yolo12m,yolo12m.pt,yolo12m.pt,se_neck,se_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_se_neck_yolo12m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_se_neck_yolo12m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_se_neck_yolo12m_visdrone_top3_seed42 --method ProposedTop3-SE-yolo12m --ablation se_neck --base-model yolo12m.pt --proposed-module se_neck --model-patches se_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,cbam_neck,ProposedTop3-CBAM-yolo12m,yolo12m.pt,yolo12m.pt,cbam_neck,cbam_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_neck_yolo12m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_neck_yolo12m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_cbam_neck_yolo12m_visdrone_top3_seed42 --method ProposedTop3-CBAM-yolo12m --ablation cbam_neck --base-model yolo12m.pt --proposed-module cbam_neck --model-patches cbam_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,partial_deformable_neck,ProposedTop3-DeformableNeck-yolo12m,yolo12m.pt,yolo12m.pt,partial_deformable_neck,partial_deformable_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_partial_deformable_neck_yolo12m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_partial_deformable_neck_yolo12m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_partial_deformable_neck_yolo12m_visdrone_top3_seed42 --method ProposedTop3-DeformableNeck-yolo12m --ablation partial_deformable_neck --base-model yolo12m.pt --proposed-module partial_deformable_neck --model-patches partial_deformable_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,wavelet_cbam,ProposedTop3-WaveletCBAM-yolo12m,yolo12m.pt,yolo12m.pt,wavelet_stem+cbam_neck,"wavelet_stem,cbam_neck",implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_cbam_yolo12m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_cbam_yolo12m_visdrone_top3_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_wavelet_cbam_yolo12m_visdrone_top3_seed42 --method ProposedTop3-WaveletCBAM-yolo12m --ablation wavelet_cbam --base-model yolo12m.pt --proposed-module wavelet_stem+cbam_neck --model-patches wavelet_stem,cbam_neck --implementation-status implemented"
2026-05-26T18:58:49+09:00,top3-check,full_proposed,ProposedTop3-Full-yolo12m,yolo12m.pt,yolo12m.pt,wavelet_stem+cbam_neck+partial_deformable_neck,"wavelet_stem,cbam_neck,partial_deformable_neck",implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_full_proposed_yolo12m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_full_proposed_yolo12m_visdrone_top3_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_full_proposed_yolo12m_visdrone_top3_seed42 --method ProposedTop3-Full-yolo12m --ablation full_proposed --base-model yolo12m.pt --proposed-module wavelet_stem+cbam_neck+partial_deformable_neck --model-patches wavelet_stem,cbam_neck,partial_deformable_neck --implementation-status implemented"
2026-05-26T18:58:49+09:00,top3-check,se_neck,ProposedTop3-SE-yolov10m,yolov10m.pt,yolov10m.pt,se_neck,se_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_se_neck_yolov10m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_se_neck_yolov10m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_se_neck_yolov10m_visdrone_top3_seed42 --method ProposedTop3-SE-yolov10m --ablation se_neck --base-model yolov10m.pt --proposed-module se_neck --model-patches se_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,cbam_neck,ProposedTop3-CBAM-yolov10m,yolov10m.pt,yolov10m.pt,cbam_neck,cbam_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_neck_yolov10m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_neck_yolov10m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_cbam_neck_yolov10m_visdrone_top3_seed42 --method ProposedTop3-CBAM-yolov10m --ablation cbam_neck --base-model yolov10m.pt --proposed-module cbam_neck --model-patches cbam_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,partial_deformable_neck,ProposedTop3-DeformableNeck-yolov10m,yolov10m.pt,yolov10m.pt,partial_deformable_neck,partial_deformable_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_partial_deformable_neck_yolov10m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_partial_deformable_neck_yolov10m_visdrone_top3_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_partial_deformable_neck_yolov10m_visdrone_top3_seed42 --method ProposedTop3-DeformableNeck-yolov10m --ablation partial_deformable_neck --base-model yolov10m.pt --proposed-module partial_deformable_neck --model-patches partial_deformable_neck --implementation-status implemented
2026-05-26T18:58:49+09:00,top3-check,wavelet_cbam,ProposedTop3-WaveletCBAM-yolov10m,yolov10m.pt,yolov10m.pt,wavelet_stem+cbam_neck,"wavelet_stem,cbam_neck",implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_cbam_yolov10m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_cbam_yolov10m_visdrone_top3_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_wavelet_cbam_yolov10m_visdrone_top3_seed42 --method ProposedTop3-WaveletCBAM-yolov10m --ablation wavelet_cbam --base-model yolov10m.pt --proposed-module wavelet_stem+cbam_neck --model-patches wavelet_stem,cbam_neck --implementation-status implemented"
2026-05-26T18:58:49+09:00,top3-check,full_proposed,ProposedTop3-Full-yolov10m,yolov10m.pt,yolov10m.pt,wavelet_stem+cbam_neck+partial_deformable_neck,"wavelet_stem,cbam_neck,partial_deformable_neck",implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_full_proposed_yolov10m_visdrone_top3_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_full_proposed_yolov10m_visdrone_top3_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_top3_proposed_ablation --name proposed_full_proposed_yolov10m_visdrone_top3_seed42 --method ProposedTop3-Full-yolov10m --ablation full_proposed --base-model yolov10m.pt --proposed-module wavelet_stem+cbam_neck+partial_deformable_neck --model-patches wavelet_stem,cbam_neck,partial_deformable_neck --implementation-status implemented"
