created_at,session,ablation,method,base_model,train_model,init_weights,proposed_module,model_patches,implementation_status,seed,physical_gpu,ultralytics_device,imgsz,batch,epochs,data_yaml,run_name,log_file,status,skip_reason,command
2026-06-04T10:56:53+09:00,dry-run-yolov11-p2,tiny_frelu_neck,ProposedNext-TinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,tiny_frelu_neck,tiny_frelu_neck,implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-TinyFReLU-yolo11l --ablation tiny_frelu_neck --base-model yolo11l.pt --proposed-module tiny_frelu_neck --model-patches tiny_frelu_neck --implementation-status implemented
2026-06-04T10:56:53+09:00,dry-run-yolov11-p2,cbam_tiny_frelu,ProposedNext-CBAMTinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-CBAMTinyFReLU-yolo11l --ablation cbam_tiny_frelu --base-model yolo11l.pt --proposed-module cbam_neck+tiny_frelu_neck --model-patches cbam_neck,tiny_frelu_neck --implementation-status implemented"
2026-06-04T10:56:53+09:00,dry-run-yolov11-p2,p2_tiny_frelu,ProposedNext-P2TinyFReLU-yolo11l,yolo11l.pt,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_head+tiny_frelu_neck,tiny_frelu_neck,implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model configs/detector/yolo11l-p2.yaml --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-P2TinyFReLU-yolo11l --ablation p2_tiny_frelu --base-model yolo11l.pt --proposed-module p2_head+tiny_frelu_neck --model-patches tiny_frelu_neck --implementation-status implemented --init-weights yolo11l.pt
2026-06-04T10:56:53+09:00,dry-run-yolov11-p2,p2_full_light,ProposedNext-P2FullLight-yolo11l,yolo11l.pt,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck,"wavelet_stem,cbam_neck,tiny_frelu_neck",implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model configs/detector/yolo11l-p2.yaml --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-P2FullLight-yolo11l --ablation p2_full_light --base-model yolo11l.pt --proposed-module p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck --model-patches wavelet_stem,cbam_neck,tiny_frelu_neck --implementation-status implemented --init-weights yolo11l.pt"
2026-06-04T11:02:02+09:00,dry-run-yolov11-p2,tiny_frelu_neck,ProposedNext-TinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,tiny_frelu_neck,tiny_frelu_neck,implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-TinyFReLU-yolo11l --ablation tiny_frelu_neck --base-model yolo11l.pt --proposed-module tiny_frelu_neck --model-patches tiny_frelu_neck --implementation-status implemented
2026-06-04T11:02:02+09:00,dry-run-yolov11-p2,cbam_tiny_frelu,ProposedNext-CBAMTinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-CBAMTinyFReLU-yolo11l --ablation cbam_tiny_frelu --base-model yolo11l.pt --proposed-module cbam_neck+tiny_frelu_neck --model-patches cbam_neck,tiny_frelu_neck --implementation-status implemented"
2026-06-04T11:02:02+09:00,dry-run-yolov11-p2,p2_tiny_frelu,ProposedNext-P2TinyFReLU-yolo11l,yolo11l.pt,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_head+tiny_frelu_neck,tiny_frelu_neck,implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model configs/detector/yolo11l-p2.yaml --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-P2TinyFReLU-yolo11l --ablation p2_tiny_frelu --base-model yolo11l.pt --proposed-module p2_head+tiny_frelu_neck --model-patches tiny_frelu_neck --implementation-status implemented --init-weights yolo11l.pt
2026-06-04T11:02:02+09:00,dry-run-yolov11-p2,p2_full_light,ProposedNext-P2FullLight-yolo11l,yolo11l.pt,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck,"wavelet_stem,cbam_neck,tiny_frelu_neck",implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model configs/detector/yolo11l-p2.yaml --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_p2_full_light_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-P2FullLight-yolo11l --ablation p2_full_light --base-model yolo11l.pt --proposed-module p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck --model-patches wavelet_stem,cbam_neck,tiny_frelu_neck --implementation-status implemented --init-weights yolo11l.pt"
2026-06-04T12:54:39+09:00,dryrun-patience,tiny_frelu_neck,ProposedNext-TinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,tiny_frelu_neck,tiny_frelu_neck,implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-TinyFReLU-yolo11l --ablation tiny_frelu_neck --base-model yolo11l.pt --proposed-module tiny_frelu_neck --model-patches tiny_frelu_neck --implementation-status implemented --patience 20
2026-06-04T12:54:39+09:00,dryrun-patience,cbam_tiny_frelu,ProposedNext-CBAMTinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,,cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",implemented,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42.log,queued,,"CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project outputs/detectors/server_yolov11_p2_next_step --name proposed_cbam_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42 --method ProposedNext-CBAMTinyFReLU-yolo11l --ablation cbam_tiny_frelu --base-model yolo11l.pt --proposed-module cbam_neck+tiny_frelu_neck --model-patches cbam_neck,tiny_frelu_neck --implementation-status implemented --patience 20"
