created_at,session,model,seed,physical_gpu,ultralytics_device,imgsz,batch,epochs,data_yaml,run_name,log_file,status,command
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8n.pt","42","0","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8n_visdrone_seed42","outputs/logs/server_baselines/yolov8n_visdrone_seed42.log","queued","CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_baselines --name yolov8n_visdrone_seed42"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8n.pt","123","1","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8n_visdrone_seed123","outputs/logs/server_baselines/yolov8n_visdrone_seed123.log","queued","CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_baselines --name yolov8n_visdrone_seed123"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8n.pt","2026","0","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8n_visdrone_seed2026","outputs/logs/server_baselines/yolov8n_visdrone_seed2026.log","queued","CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_baselines --name yolov8n_visdrone_seed2026"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8s.pt","42","1","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8s_visdrone_seed42","outputs/logs/server_baselines/yolov8s_visdrone_seed42.log","queued","CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_baselines --name yolov8s_visdrone_seed42"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8s.pt","123","0","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8s_visdrone_seed123","outputs/logs/server_baselines/yolov8s_visdrone_seed123.log","queued","CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_baselines --name yolov8s_visdrone_seed123"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolov8s.pt","2026","1","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolov8s_visdrone_seed2026","outputs/logs/server_baselines/yolov8s_visdrone_seed2026.log","queued","CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_baselines --name yolov8s_visdrone_seed2026"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolo11n.pt","42","0","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolo11n_visdrone_seed42","outputs/logs/server_baselines/yolo11n_visdrone_seed42.log","queued","CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_baselines --name yolo11n_visdrone_seed42"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolo11n.pt","123","1","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolo11n_visdrone_seed123","outputs/logs/server_baselines/yolo11n_visdrone_seed123.log","queued","CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_baselines --name yolo11n_visdrone_seed123"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolo11n.pt","2026","0","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolo11n_visdrone_seed2026","outputs/logs/server_baselines/yolo11n_visdrone_seed2026.log","queued","CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11n.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_baselines --name yolo11n_visdrone_seed2026"
"2026-05-15T18:51:26+09:00","server-visdrone-baselines","yolo11s.pt","42","1","0","1280","8","100","configs/detector/visdrone_yolo_data.yaml","yolo11s_visdrone_seed42","outputs/logs/server_baselines/yolo11s_visdrone_seed42.log","queued","CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_baselines --name yolo11s_visdrone_seed42"
