appearance_distance,component_frame_overlap_count,component_size_after,crop_area_min_median_px2,dataset,destination_component_tracklets_before,destination_crop_area_median_px2,destination_endpoint_area_px2,destination_first_frame,destination_gt_purity,destination_id,destination_majority_gt_identity,destination_tracklet_length,displacement_normalized_by_frame_diagonal,displacement_px,gap,modality,posthoc_GT_correctness,sequence,source_component_tracklets_before,source_crop_area_median_px2,source_endpoint_area_px2,source_gt_purity,source_id,source_last_frame,source_majority_gt_identity,source_tracklet_length,split,tracker
0.09436190128326416,0,2,99.43066254485166,M3OT,1,113.78986087988596,126.22181698679924,196,1.0,26,19,9,0.020618942518210365,16.899283275339197,18,ir,different_identity,M3OT/1/ir/val/1-08T,1,99.43066254485166,95.4384304548148,1.0,19,178,20,8,development,bytetrack
0.0949622392654419,0,3,113.78986087988596,M3OT,1,172.31015057989862,143.69862728123553,220,1.0,31,19,74,0.04593567569857076,37.64887531883181,14,ir,same_identity,M3OT/1/ir/val/1-08T,2,113.78986087988596,104.9184583062306,1.0,26,206,19,9,development,bytetrack
0.16625440120697021,0,2,145.123939376208,M3OT,1,240.68487402796745,240.29932683706284,390,1.0,41,35,68,0.03570095188601635,29.260496681059234,30,ir,different_identity,M3OT/1/ir/val/1-08T,1,145.123939376208,166.4702026695013,1.0,15,360,16,213,development,bytetrack
0.057464599609375,0,2,104.19000755308662,M3OT,1,163.15470156259835,104.19006515503861,247,1.0,32,14,71,0.033874354420017974,27.763417576218576,9,ir,same_identity,M3OT/1/ir/val/1-08T,1,104.19000755308662,116.87413018802181,1.0,13,238,14,93,development,ocsort
0.07915014028549194,0,2,102.58668024139479,M3OT,1,102.58668024139479,114.09866982116364,198,1.0,26,19,6,0.019262074609191927,15.787194469549657,20,ir,different_identity,M3OT/1/ir/val/1-08T,1,111.54744245301117,108.72119356994517,1.0,19,178,20,4,development,ocsort
0.12253689765930176,0,2,105.71982522029793,M3OT,1,105.71982522029793,107.68057835998479,343,1.0,39,28,2,0.016403265202732508,13.444114559059887,3,ir,different_identity,M3OT/1/ir/val/1-08T,1,146.7576365112327,93.21680939025828,1.0,22,340,23,147,development,ocsort
0.15286856889724731,0,3,102.58668024139479,M3OT,1,164.22692603757605,152.33808921510354,222,1.0,31,19,72,0.061521955237068875,50.423388507230015,19,ir,same_identity,M3OT/1/ir/val/1-08T,2,102.58668024139479,95.9400634765625,1.0,26,203,19,6,development,ocsort
0.25222885608673096,0,2,154.68581733386964,M3OT,1,154.68581733386964,154.68581733386964,549,1.0,47,39,3,0.004662586724715978,3.8214556244686744,24,ir,different_identity,M3OT/1/ir/val/1-08T,1,215.9784282958135,131.5697918701917,1.0,45,525,38,98,development,ocsort
0.11086755990982056,0,2,85.50677490234375,M3OT,1,174.79934228851926,136.0,220,1.0,30,19,74,0.04906696759588649,40.21528185223078,17,rgb,same_identity,M3OT/1/rgb/val/1-08,1,85.50677490234375,88.469970703125,1.0,18,203,19,18,development,bytetrack
0.24104070663452148,0,2,112.0,M3OT,1,142.82720790884923,112.0,197,1.0,26,20,78,0.042832292151819586,35.10534246683146,21,rgb,same_identity,M3OT/1/rgb/val/1-08,1,112.0,112.0,1.0,19,176,20,8,development,bytetrack
0.15891361236572266,0,2,90.0,M3OT,1,171.0,136.0,222,1.0,30,19,72,0.05524271728019903,45.27692569068709,19,rgb,same_identity,M3OT/1/rgb/val/1-08,1,90.0,90.0,1.0,18,203,19,14,development,ocsort
0.24638795852661133,0,2,153.0,M3OT,1,162.0,162.0,342,1.0,36,28,4,0.03302188924923004,27.064737205448715,1,rgb,different_identity,M3OT/1/rgb/val/1-08,1,153.0,150.0,1.0,23,341,24,146,development,ocsort
0.292549729347229,0,2,112.0,M3OT,1,136.0,112.0,199,1.0,26,20,76,0.04806666166288891,39.395431207184416,23,rgb,same_identity,M3OT/1/rgb/val/1-08,1,112.0,112.0,1.0,19,176,20,6,development,ocsort
0.020605385303497314,0,2,358.5907509177923,M3OT,1,508.33673658547923,482.87809355184436,422,1.0,41,28,51,0.02093240493788222,17.156197043905625,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,358.5907509177923,461.44223418831825,1.0,28,420,28,229,development,bytetrack
0.030414879322052002,0,2,255.48542705876753,M3OT,1,321.6536161308177,268.23965719062835,422,1.0,48,34,61,0.033080170160504296,27.112504234640376,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,255.48542705876753,269.3053934862837,1.0,35,420,34,82,development,bytetrack
0.04513406753540039,0,2,111.74229192920029,M3OT,1,247.2295411322266,173.14124061120674,422,1.0,43,30,179,0.015381276115015151,12.606492402521662,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,111.74229192920029,169.04972008313052,1.0,30,420,30,184,development,bytetrack
0.048152267932891846,0,2,135.05041982338298,M3OT,1,273.5350501537323,193.12735582049936,422,1.0,42,24,165,0.016205804676736338,13.28227593122727,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,135.05041982338298,187.60092202108353,1.0,24,420,24,257,development,bytetrack
0.05972576141357422,0,2,87.77909212256782,M3OT,1,228.43798859976232,103.18595163524151,422,1.0,44,36,167,0.037732026452122785,30.92516519718973,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,87.77909212256782,95.12327492795885,1.0,37,420,36,53,development,bytetrack
0.13996094465255737,0,2,80.33699336776044,M3OT,1,80.33699336776044,93.91041088849306,422,1.0,47,33,36,0.02690156290394082,22.048518330246125,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,321.3191845547408,123.76163346646354,1.0,34,420,33,95,development,bytetrack
0.2303439974784851,0,2,76.42088037414942,M3OT,1,230.40743727888912,76.42088037414942,422,1.0,46,39,179,0.026195940383253256,21.470190181165425,2,ir,same_identity,M3OT/2/ir/val/2-08T,1,76.42088037414942,76.42088037414942,1.0,40,420,39,7,development,bytetrack
0.2682996988296509,0,2,136.9874556740251,M3OT,1,281.45202591782436,217.31103829457425,191,1.0,27,27,78,0.048639064743048764,39.864572715811974,2,ir,different_identity,M3OT/2/ir/val/2-08T,1,136.9874556740251,105.09804279205855,1.0,16,189,17,101,development,bytetrack
0.038390159606933594,0,2,107.92349529417697,M3OT,1,237.07868057861924,176.8984486022964,424,1.0,43,30,177,0.01851158700324906,15.172094900972924,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,107.92349529417697,170.28763910522684,1.0,30,420,30,182,development,ocsort
0.040799736976623535,0,2,356.7821713257581,M3OT,1,529.1250228881836,518.5865519531071,424,1.0,41,28,49,0.025730879077752046,21.08902598057061,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,356.7821713257581,444.26200308836997,1.0,28,420,28,227,development,ocsort
0.04196727275848389,0,2,265.8616450317204,M3OT,1,326.0362923704088,268.2513756835833,424,1.0,48,34,59,0.04205396903392412,34.46742891537536,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,265.8616450317204,282.05982117913663,1.0,35,420,34,80,development,ocsort
0.05694776773452759,0,2,133.71621521608904,M3OT,1,275.414274926763,199.3013720214367,424,1.0,42,24,163,0.02000439949646318,16.395603874699884,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,133.71621521608904,188.34004592895508,1.0,24,420,24,255,development,ocsort
