created_at,session,model,seed,physical_gpu,ultralytics_device,imgsz,batch,workers,epochs,data_yaml,run_name,log_file,status,command
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov8l.pt","42","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov8l_visdrone_large_fresh_large_20260524_140922_seed42","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov8l_visdrone_large_fresh_large_20260524_140922_seed42.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 42 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov8l_visdrone_large_fresh_large_20260524_140922_seed42"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov8l.pt","123","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov8l_visdrone_large_fresh_large_20260524_140922_seed123","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov8l_visdrone_large_fresh_large_20260524_140922_seed123.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 123 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov8l_visdrone_large_fresh_large_20260524_140922_seed123"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov8l.pt","2026","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov8l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 2026 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov10l.pt","42","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov10l_visdrone_large_fresh_large_20260524_140922_seed42","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov10l_visdrone_large_fresh_large_20260524_140922_seed42.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 42 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov10l_visdrone_large_fresh_large_20260524_140922_seed42"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov10l.pt","123","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov10l_visdrone_large_fresh_large_20260524_140922_seed123","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov10l_visdrone_large_fresh_large_20260524_140922_seed123.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 123 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov10l_visdrone_large_fresh_large_20260524_140922_seed123"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolov10l.pt","2026","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026","outputs/logs/server_fresh_baselines/large_20260524_140922/yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolov10l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 2026 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolo11l.pt","42","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolo11l_visdrone_large_fresh_large_20260524_140922_seed42","outputs/logs/server_fresh_baselines/large_20260524_140922/yolo11l_visdrone_large_fresh_large_20260524_140922_seed42.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 42 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolo11l_visdrone_large_fresh_large_20260524_140922_seed42"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolo11l.pt","123","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolo11l_visdrone_large_fresh_large_20260524_140922_seed123","outputs/logs/server_fresh_baselines/large_20260524_140922/yolo11l_visdrone_large_fresh_large_20260524_140922_seed123.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 123 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolo11l_visdrone_large_fresh_large_20260524_140922_seed123"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolo11l.pt","2026","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026","outputs/logs/server_fresh_baselines/large_20260524_140922/yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 2026 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026"
"2026-05-26T02:14:49+09:00","server-large-comparison","yolo12l.pt","42","0","0","1280","2","4","100","configs/detector/visdrone_yolo_data.yaml","yolo12l_visdrone_large_fresh_large_20260524_140922_seed42","outputs/logs/server_fresh_baselines/large_20260524_140922/yolo12l_visdrone_large_fresh_large_20260524_140922_seed42.log","queued","CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo12l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 2 --workers 4 --device 0 --seed 42 --project outputs/detectors/server_fresh_baselines/large_20260524_140922 --name yolo12l_visdrone_large_fresh_large_20260524_140922_seed42"
